Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Sun, 5 Oct 2014 6:02 AM",1:32:10,9.66,359,9:33,--,--,--,"1,303",
 false,Running,"Wed, 1 Oct 2014 6:40 PM",32:30,2.59,119,12:32,--,--,--,354,
 false,Running,"Wed, 1 Oct 2014 6:21 PM",6:59,0.57,20,12:17,--,--,--,75,
 false,Running,"Sun, 28 Sep 2014 5:36 PM",1:53:00,9.34,499,12:06,--,--,--,"1,293",
 false,Running,"Sun, 7 Sep 2014 6:17 PM",1:06:47,5.40,314,12:22,--,--,--,740,
 false,Running,"Sat, 2 Aug 2014 4:34 AM",1:52:54,9.32,633,12:07,--,--,--,"1,290",
 false,Running,"Sun, 11 May 2014 5:38 AM",2:19:09,13.00,903,10:42,--,--,--,"1,785",
 false,Running,"Tue, 22 Apr 2014 11:00 AM",1:17:59,6.65,479,11:44,--,--,--,921,
 false,Running,"Sun, 13 Apr 2014 6:32 AM",56:34,6.02,276,9:24,--,--,--,809,
 false,Running,"Sat, 12 Apr 2014 6:31 AM",1:52:55,8.99,432,12:33,--,--,--,"1,227",
 false,Running,"Sat, 5 Apr 2014 6:28 AM",2:50:24,13.12,"1,009",13:00,--,--,--,"1,763",
 false,Running,"Sat, 29 Mar 2014 7:19 AM",1:33:05,6.55,355,14:13,--,--,--,844,
 false,Running,"Sat, 29 Mar 2014 6:45 AM",6:29,0.37,19,17:21,--,--,--,42,
 false,Running,"Sun, 16 Mar 2014 6:42 AM",1:55:31,12.71,399,9:05,--,--,--,"1,695",
 false,Running,"Sun, 2 Mar 2014 7:31 AM",1:18:59,8.80,425,8:59,--,--,--,"1,169",
 false,Running,"Sun, 19 Jan 2014 6:18 AM",2:11:23,13.42,"328,084",9:47,--,--,--,"1,817",
 false,Running,"Sun, 15 Dec 2013 7:51 AM",2:15:26,13.39,755,10:07,--,--,--,"1,824",
 false,Walking,"Thu, 23 May 2013 9:34 PM",43:58,2.32,147,18:56,--,--,--,240,
 false,Running,"Wed, 22 May 2013 6:53 PM",37:38,3.26,156,11:34,--,--,--,449,
 false,Running,"Tue, 21 May 2013 6:38 PM",39:13,3.29,155,11:56,--,--,--,455,
 
