Activities by AnujKatiyal
 
 Favorite,Activity Type,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Avg HR,Max HR,Steps,Calories,
 false,Running,"Wed, 13 Jan 2016 8:30 AM",29:53,3.12,39,9:35,--,--,"4,768",413,
 false,Indoor Cycling,"Mon, 11 Jan 2016 8:03 PM",40:02,0.00,0,0.0,--,--,--,0,
 false,Running,"Sun, 10 Jan 2016 7:16 AM",1:17:37,8.17,85,9:30,--,--,"12,382","1,078",
 false,Strength Training,"Sat, 9 Jan 2016 6:05 PM",1:30:06,0.71,--,0.5,0,0,"1,478",170,
 false,Running,"Thu, 7 Jan 2016 7:49 PM",30:00,3.18,33,9:26,--,--,"4,738",428,
 false,Strength Training,"Wed, 6 Jan 2016 8:26 PM",1:40:12,2.59,--,1.5,0,0,"4,452",394,
 false,Strength Training,"Mon, 4 Jan 2016 7:10 PM",40:06,0.02,--,0.0,0,0,46,60,
 false,Running,"Mon, 4 Jan 2016 6:40 AM",2:26:23,14.92,138,9:49,--,--,"23,488","1,984",
 false,Running,"Sun, 3 Jan 2016 6:57 AM",1:06:02,7.09,82,9:19,--,--,"10,680",935,
 false,Cardio,"Fri, 1 Jan 2016 9:07 PM",1:27,0.00,--,0.0,0,0,0,2,
 false,Cardio,"Thu, 31 Dec 2015 6:17 PM",33:36,0.53,--,1.0,0,0,"1,110",77,
 false,Strength Training,"Mon, 28 Dec 2015 8:12 PM",2:13:36,0.81,--,0.4,0,0,"1,678",239,
 false,Strength Training,"Mon, 28 Dec 2015 6:50 PM",40:02,0.01,--,0.0,0,0,16,59,
 false,Running,"Sun, 27 Dec 2015 6:06 AM",3:27:25,19.93,689,10:24,--,--,"32,850","2,597",
 false,Running,"Sat, 26 Dec 2015 7:06 AM",56:06,6.22,66,9:01,--,--,"9,184",813,
 false,Strength Training,"Thu, 24 Dec 2015 8:21 PM",1:47:25,0.81,--,0.5,0,0,"1,682",200,
 false,Walking,"Wed, 23 Dec 2015 9:09 PM",1:00:54,0.23,--,--:--,0,0,462,102,
 false,Walking,"Mon, 21 Dec 2015 7:47 PM",2:21:40,1.11,--,--:--,108,158,"2,276","1,100",
 false,Running,"Sun, 20 Dec 2015 8:56 AM",39:03,3.73,33,10:28,--,--,"6,134",498,
 false,Running,"Sun, 20 Dec 2015 6:21 AM",2:23:39,14.92,131,9:38,--,--,"23,270","1,972",
 
